昵称,地区,时间,评论内容,点赞数
酱子❤,未知地区,2024/11/15 12:56,李子柒当年那么火，是因为什么原因沉寂这么多年啊？,2678
🌈彭于晏,未知地区,2024/10/26 10:37,现在还有人我吃[微笑],2411
爱人如己,未知地区,2024/11/17 8:34,2024年11月17号，我不信，现在还有回头客[暗中观察],2011
T-Rex-,未知地区,2024/2/23 3:07,24年打卡，曾经很喜欢的主播,1988
e i,未知地区,2024/9/7 22:00,我在等2024年9月7号那群人[裂开],1970
苹果小贝👀,未知地区,2024/8/27 4:05,等2024年8月27号那群人,1753
恒氧,未知地区,2021/9/8 17:29,安静，舒适，视频看着有食欲，是李子柒没错了[暗中观察],1661
枫禾园林,未知地区,2024/10/25 8:49,这一批在哪里？？？？？？？？？？？,1599
：🌈陈楚屹🌈,未知地区,2024/10/25 6:51,以前的抖音没有带货没有广告植入！看着就是舒服！,1578
清清河边草好物,未知地区,2021/9/29 15:11,你叫李佳佳我一样支持你，注册这个商标！[比心][比心][呲牙],1530
烧烤人,未知地区,2024/11/16 3:11,我等2024-11-16号3点以后的朋友[尬笑][尬笑][尬笑],1451
ಥ_ಥ,未知地区,2024/11/14 23:59,我在等2024年十一月15号这帮人。,1429
✨千千结,未知地区,2023/12/15 22:43,2023.12.15，想知道子柒多久会回来,1315
禧个哈皮 谁爱嘻嘻谁嘻嘻,未知地区,2023/9/15 23:22,今天是2023年9月15日还在等更新[快哭了],1274
风起的日子笑看落花,未知地区,2024/11/14 22:36,有没有人想过？李子柒的摄影师功劳很大！,1233
ғᴇɴɢ 🌛,未知地区,2024/11/18 22:26,2024年11月18号，我不信，现在还有回头客[暗中观察],1163
777,未知地区,2022/7/23 21:51,现在还有人等更新吗,1113
好赛雷啊,未知地区,2022/7/26 17:14,快一年了，终于胜诉了,1102
怯桥,未知地区,2024/11/15 19:42,我在等2024年十一月十五号这帮人。[玫瑰]19.41,1080
凤梨罐头（有关必回）,未知地区,2024/11/29 19:36,现在还有人刷到我直接吃[捂脸],1043
喊城哥,未知地区,2021/9/8 17:26,我老婆回来更新了[呲牙],1039
睚眦,未知地区,2024/11/14 18:38,我在等24年11月那一批 [流泪],943
疆疆•食乐记,未知地区,2024/11/15 18:45,我在等2024年十一月十五号这帮人。[玫瑰]18.45,939
Y.cw,未知地区,2024/11/16 21:09,我在等2024年十一月16号这帮人。,925
D u n k,未知地区,2024/11/30 16:30,现在还有人刷到我直接吃[捂脸],892
山大王😊,未知地区,2024/2/25 11:32,2024.2.25，回来看看[暗中观察],848
呆呆椰ovo,未知地区,2024/2/22 17:42,2024了[流泪][流泪][抱抱你]还不回来嘛,844
MQ.,未知地区,2024/2/22 14:18,我是从九月那边过来的 姐姐快回来吧[流泪]我们支持你[流泪],844
亽仒凣凣,未知地区,2024/11/12 22:16,我在等2024年11月12日连看两集的朋友[泣不成声],831
睡觉不眨眼,未知地区,2024/2/22 12:14,从九月那边过来 都是好女孩[流泪][流泪][流泪]等姐姐回归[流泪][流泪][流泪],818
张鱼大丸子💭,未知地区,2024/10/25 14:48,我等24年10月25日下午的这批人[泣不成声],797
一路小跑咯,未知地区,2024/11/2 16:20,李子柒快回来吧  三年了...,778
橘橙会顺遂,未知地区,2024/1/14 20:45,2024年了 还会有人看吗 期待姐姐更新[猪头],776
阳光七💑,未知地区,2024/11/20 22:27,2024年11月20日，我不信还有回头客,769
安  心,未知地区,2024/11/19 10:10,2024年11月19日，我不信，现在还有回头客[看],766
亮亮5201,未知地区,2022/4/30 7:46,从此再无李子柒，只有李佳佳。,755
贝利亚奥特曼,未知地区,2024/11/3 12:06,现在还有人我吃史,754
LIII,未知地区,2024/11/15 19:09,我在等2024年十一月15号这帮人。,731
刘婆婆在新疆,未知地区,2024/1/12 13:27,今天是2024年1月12号，还有人在等她更新[玫瑰],721
Ruirui,未知地区,2024/8/27 0:04,我在等这一批,680
星光✨,未知地区,2024/4/1 4:05,别吵，我在等2024年4月1号刷到的那批[玫瑰],673
空白。,未知地区,2024/11/16 8:00,我等2024-11-16号早晨起来的朋友[比心][比心],666
彬.,未知地区,2024/10/25 16:30,现在还有人我吃[微笑],593
Wik-,未知地区,2024/10/25 11:13,我在等2024.10.25这一批人，等李子柒回来,586
压壳弟,未知地区,2024/11/16 12:45,我在等2024年11.16号12.45之后这帮人[尬笑],581
不郝意思,未知地区,2024/2/22 19:53,看了九月之后来看一眼，还会回来吗[流泪],577
@小海.,未知地区,2024/10/25 1:27,我在等2024，10.25号那一批人[灵机一动],573
Chen妹纸و☆🌈,未知地区,2021/9/15 16:40,刷到说被一锅端了，赶紧跑过来看看的，有木有同款的[捂脸],557
抖音ㅤ,未知地区,2024/9/1 15:27,我在等2024年9月1号的那群人[看],554
吃个荷包蛋,未知地区,2022/4/30 7:40,她是不是换了李佳佳[泣不成声],552
小刘特别能站丶,未知地区,2024/8/29 1:06,等2024年8月29号那批人[绝望的凝视],544
昔年°　,未知地区,2023/12/22 21:18,2023年12月22号。我又回来翻你视频了[微笑],526
张小宝子,未知地区,2024/2/24 10:47,2024.2.24，元宵佳节，你何时归来。,504
小飒老师,未知地区,2021/9/8 22:27,这种黄瓜很甜,498
余  .,未知地区,2024/11/16 12:41,我在等2024年11.16号12.40之后这帮人[尬笑],483
江山邑,未知地区,2024/11/15 10:46,我在等2024年十一月15号这帮人。,471
0907,未知地区,2024/12/6 12:03,现在还有人我就吃,468
乐①~李,未知地区,2021/9/16 18:28,这不是拍黄瓜这是在拍小人狠狠拍它[赞][赞][赞][赞],465
陈小面,未知地区,2024/10/25 18:05,我在等2024 10 25下午18:05这批人[他急了],455
知许,未知地区,2024/11/17 10:12,2024年11月17号，我不信，现在还有回头客[暗中观察],446
抑渔,未知地区,2024/2/23 19:11,看到九月又回来看看你[流泪],444
🎋,未知地区,2024/1/7 23:00,是的 我今天突然刷到九月了 我就想到了李子柒 她们都好厉害啊[流泪][流泪],440
安念小肉包,未知地区,2024/11/15 13:50,我在等2024年十一月15号这帮人。[比心],437
正安,未知地区,2024/2/23 15:40,2024年2月23我还在等着更新,436
猪骨头烩酸菜,未知地区,2024/10/26 21:58,现在还有人我吃[黑脸],426
厚米homie,未知地区,2023/12/28 21:47,2023年最后三天[流泪][流泪][流泪]，怎么还不回来呀[流泪][流泪],410
神明也难逃此劫,未知地区,2024/2/23 18:10,牢底你们还最后一个上了[捂脸][比心],410
祝暥,未知地区,2024/2/24 16:14,24年了，我还在等你呢[流泪][流泪][流泪],408
哈哈baby,未知地区,2023/12/24 17:17,2023年12月24还是在等更新,398
巴州素彦美业,未知地区,2024/2/24 13:34,听说你胜诉了，你什么时候回来呀[流泪],397
吴大妹的日常（孕晚期）,未知地区,2021/9/11 18:03,永远支持你[玫瑰][玫瑰],397
^ 超级米虫,未知地区,2024/11/18 21:15,2024年11月18号，我不信，现在还有回头客[暗中观察],394
六年出师,未知地区,2023/12/23 19:56,2023年12月23日，我又回来看你了。,386
只要你乖给你买条街,未知地区,2024/12/13 5:43,现在还有人刷到，我直接吃,385
好烦又胖了,未知地区,2024/2/22 22:13,到2024年2月22还没更新,384
吾即雷霆,未知地区,2024/2/24 8:49,2024年2月24日元宵节，你快回来吧[舔屏],375
岁月静好！,未知地区,2021/9/8 18:12,以前把她的全部视频看了一遍，现在刷到了都不怎么想看了,356
晴天☀️☀️,未知地区,2022/5/1 0:25,今天是2022年5月1日的凌晨，有人刷到嘛！,354
小武子,未知地区,2024/10/19 0:41,2024.10.19 想起李子柒，还有多少人能记起你[微笑],348
想喝佳得乐,未知地区,2024/11/19 23:56,现在还有人我吃[泣不成声],347
小阿星✨,未知地区,2023/12/22 21:56,看了山白的制阿胶视频，来看了,321
雨夜漫,未知地区,2024/1/18 13:22,24年1月18日等待李子柒更新,317
不是宛宛¥,未知地区,2024/1/1 0:35,2024年了，等你更新。,306
月&鱼儿🎣,未知地区,2024/10/25 23:22,我在等2024 10 25晚上23：22这批人[不失礼貌的微笑],305
大幸运💃💃,未知地区,2024/1/5 23:07,2024年1月5日，我来看你了,294
beluga,未知地区,2024/12/8 22:47,现在还有人我吃,293
年年有·余🌊,未知地区,2024/10/25 13:06,我在等2024 10.25  中午这批人,285
暖心向阳,未知地区,2024/10/25 21:26,我在等2024这批人,281
乌龙桃,未知地区,2023/7/6 18:39,今天是2023.7.6号18:40，坐等李佳佳回归,273
哦啊啊,未知地区,2024/10/25 23:28,我在等2024 10 25晚上23：28这批人[不失礼貌的微笑],271
…,未知地区,2024/2/23 20:37,现在是2024年2月23号晚上8点半我回来看你了,271
yinjjing,未知地区,2024/1/4 22:27,2024年1月4日我又来回顾了，期待回归[流泪],261
100秒9米58,未知地区,2024/12/8 17:52,现在还有人我吃,260
冷清秋,未知地区,2024/11/14 15:21,2024年11月12日她回归了[比心],257
美食高哥,未知地区,2021/11/24 22:17,赶紧给我更新，在不更新我让资本炒你鱿鱼[呲牙],253
lfy,未知地区,2024/1/20 12:02,2024年1.20等更新[流泪],240
小兔儿,未知地区,2024/10/19 15:10,2024-10-19我的白月光，你什么时候能回来啊，我没变心，等你呀,236
小娜伊零食,未知地区,2024/2/2 15:59,2024年2月2号  我又回来看你了,234
无敌大炮oo,未知地区,2024/11/13 20:06,我在等2024年11月13日这批人,234
茶叶小站,未知地区,2024/2/6 10:18,2024年2月7日，我又来看你了[比心],228
糯糯里脊,未知地区,2024/2/12 13:52,2024年大年初三，快回来吧,222
质子小姐,未知地区,2024/10/26 15:29,我在等等她回来的这一群人[流泪]2024.10.26,218
⭐⭐玖月💜,未知地区,2024/2/8 1:17,2024年2月8日了   姐姐怎么还没更新啊[流泪],217
易,未知地区,2024/1/9 22:14,2024了，李子柒姐姐回来了吗[流泪],211
徐江南,未知地区,2024/1/27 23:20,三年了，你知道我这三年怎么过的吗[斜眼],211
云南文山刮大白的（小婆娘),未知地区,2024/11/13 21:50,我在等2024.11.13. 21:50这批人这批人[泣不成声][看],209
赵公子🤓,未知地区,2024/1/16 23:44,2024年1月18号，期待回归[玫瑰][玫瑰],205
微大大呀,未知地区,2024/11/15 13:20,我在等2024年十一月15号13：21这帮人[比心],198
ZeKux爸爸,未知地区,2024/1/26 16:44,三年多了你到底去哪儿了？我们想你了[流泪][流泪],183
『轩☀炎』,未知地区,2024/10/25 22:16,欢迎回归！！李子柒！！[呆无辜],181
n,未知地区,2024/10/25 22:09,还有人我食[捂脸],176
天涯途上谁是客,未知地区,2023/12/27 8:53,2023年12月28来看看你[比心][抱抱你],175
Puppy.♡,未知地区,2024/1/23 13:24,2024.1.23催更[流泪],172
十二吖,未知地区,2024/10/25 13:59,我等24年10月25日的人[灵机一动],172
劉劉劉劉,未知地区,2024/11/13 13:39,我掐指一算，子柒将会在2024年11月12日归来[看][看][看],170
☺吉星高照,未知地区,2023/12/26 18:42,2023年12月26看看你[比心][比心][比心],169
小飞鱼🐟,未知地区,2024/2/18 13:26,2024年2月18，又来看看有没有更新,167
向日葵武士,未知地区,2024/11/17 21:04,我是预言家2024年11月12号李子柒会更新,166
🌈1909,未知地区,2024/11/12 23:54,别吵！我在等2024.11.13  00:00这批人[泣不成声],166
时光.,未知地区,2024/4/1 10:49,别吵，我在等2024年4月1号刷到的那批[玫瑰],166
小花妹妹,未知地区,2024/11/13 0:00,别吵！我在等2024.11.13  00:00这批人[泣不成声],163
品客官方旗舰店,未知地区,2021/9/9 18:36,拍黄瓜好吃[泣不成声],162
竹秋,未知地区,2022/7/26 21:41,刚看到说你胜诉了，等你回来哦,162
因为是女子🌈,未知地区,2024/11/12 23:50,别吵！我在等2024.11.13  00:00这批人[泣不成声],162
小盐巴,未知地区,2024/11/13 17:24,我在等2024.11.13 . 这批人这批人[抱抱你],160
猫咪玩家,未知地区,2024/11/14 23:56,我在等2024年十一月14号这帮人。,153
用户9101208788111,未知地区,2024/2/24 20:20,我突然想起来来看下她,153
秀麦,未知地区,2024/2/17 9:12,2024.2.17我又来看你了，希望能出新作品,150
已重置,未知地区,2024/11/18 23:41,2024年11月18号十一点四十一，我不信，现在还有回头客[泣不成声][泣不成声][泣不成声][泣不成声][泣不成声][泣不成声],149
Dinosaur！,未知地区,2024/1/25 22:34,2024啦姐姐[求抱抱],136
赵文杰4,未知地区,2024/11/17 19:08,2024了我就不信现在还有回头客 [微笑],132
蜡笔小馨…💭,未知地区,2024/2/23 1:00,2034年2月23日等更新[流泪],122
雪糕糕,未知地区,2024/10/26 13:47,姐姐，今天是2024年10月26日，又是新的一天，从最开始的美拍，到微博。到抖音，一直关注着你，刚刚刷到一个熊猫姐姐不知道是不是你，很激动，希望你能接着给我们带来快乐[求抱抱][求抱抱][求抱抱],119
泪又偷偷哭,未知地区,2024/11/17 20:08,我就不信现在还有回头客,114
YORK,未知地区,2024/2/24 12:45,2024年2月24号留言：子柒！元宵快乐！何时才能再看到您的作品？,114
何小勇的农村生活,未知地区,2022/3/16 23:00,今天是2022年3月16日，还有人在等佳佳更新吗?,113
下一页,未知地区,2024/11/12 19:03,别吵，我在等2024年11月12日的朋友,113
爱吃牛油果,未知地区,2024/2/24 17:55,还在等你什么时候更新[捂脸],110
十三吖爱美食,未知地区,2024/11/13 13:53,到我了！我在等2024.11.13 13.54这批人[猪头],103
心遠,未知地区,2024/11/13 9:39,我在等2024.11.13. 09:40这批人这批人[玫瑰][爱心][爱心][比心],101
小寳🥥,未知地区,2024/11/15 3:54,我在等2024的这帮人[色][色][色][色],99
多乐,未知地区,2024/11/14 0:42,我在等2024.11.14.00.50这批人这批人[抱抱你],98
宝贝儿,未知地区,2024/9/6 12:28,我在等2024年9月6号的那群人[看],92
宝贝要开心,未知地区,2024/9/5 17:20,我在等2024年9月5号的那群人[看],89
无敌卡卡大王😎🤓,未知地区,2024/12/1 18:33,现在还有人我吃[捂脸],88
wrq🌈,未知地区,2024/4/3 16:44,3年了吗？？？[宕机],88
秦皇晒肚皮,未知地区,2023/6/27 21:54,2023年6月27日，晚上21:53，做个记号，为了等李佳佳回归。这个号已经不属于李佳佳了，不是为了这些视频都不想关注这个号。,84
yang,未知地区,2024/1/30 18:41,现在是2024年1月30日，等你更新呀！，还有马上要过年啦[摸头],81
挑盐工,未知地区,2024/1/8 7:41,我判了两年都出来了[微笑]你。。。。还,80
十二个煎饼,未知地区,2024/2/7 22:16,2024年了哇，我又回来看来啦[眼含热泪],80
卡布卡呦,未知地区,2024/3/29 13:15,别吵，我在等2024年的那批人[灵机一动],79
今天也想见到你,未知地区,2024/1/29 20:01,2024年1月29日，等更新，又要过年了，朋友们！,76
亢龙有悔,未知地区,2024/11/17 0:21,我在等2024年11月17日这批人,73
转角遇到李,未知地区,2024/10/25 23:35,今天还刷到一个视频说：李子柒改名李佳佳的视频[比心],72
雪花纷飞,未知地区,2024/12/8 7:35,现在还有人我就吃,70
小闪光,未知地区,2021/10/26 20:46,现在没有搞清楚不会买杭州微念的东西了，赞成的+1,69
level,未知地区,2024/2/15 16:23,我是最新的？？？[发呆],69
♪,未知地区,2024/11/14 22:08,我在等2024年那一批,69
大米小米,未知地区,2024/2/26 15:57,2024/2/26，看看有没有更新,69
林妹妹~,未知地区,2024/11/13 7:55,我在等2024.11.13. 07:55 这批人这批人[灵机一动][灵机一动],68
七秒鱼鱼,未知地区,2024/10/25 21:37,太可怕了 四千多万的粉丝 我第一次刷到,67
₅₂₀¹³¹⁴ℒℴvℯ 钱多多,未知地区,2021/9/12 23:20,刚刷到一个视频说李子柒消失了，赶紧过来看看,67
捂一武,未知地区,2024/11/17 20:53,我不信还有回头客[发呆],64
. 🫗,未知地区,2022/4/27 15:13,2022年4月27日 一直在等待李子柒更新 想看她的世外桃源,62
苏家三少,未知地区,2024/11/13 1:57,我在等2024.11.13. 01.56这批人[抱抱你],61
莉,未知地区,2024/12/17 21:31,还有人我吃….,60
Cheng 🍚,未知地区,2022/8/7 18:50,李子柒怎么还不回来啊[流泪],60
季忆安,未知地区,2022/4/30 14:08,今天是2020.4月30日，无论是李子柒亦或是李佳佳，希望能够再次看到你，加油啊，挺你[泣不成声][泣不成声][泣不成声],60
小新,未知地区,2024/10/25 14:39,我等24年10月25日的人[呲牙],58
全，其实全都不会！,未知地区,2024/1/31 23:11,李子柒我来看你了！,57
粥北相,未知地区,2024/8/29 0:52,李子柒原来都是三年前的网红了[流泪][流泪],55
大饼（见过周杰伦版）,未知地区,2024/11/13 15:45,到我了！我在等2024.11.13 15：45这批人[小鼓掌],55
Eva🍓,未知地区,2021/9/13 0:58,剛剛刷到個視頻說李子柒消失了53天，我趕緊來看看[捂脸]有人是這樣來的嗎,54
´•ᴥ•`,未知地区,2024/2/1 16:25,2024年2月1日，下午4:25什么时候更新？,52
小西.,未知地区,2024/10/31 0:48,好想念姐姐的视频 特地回来看,50
小甜心💋,未知地区,2024/11/18 10:28,2024年11月18号，我不信，现在还有回头客,49
情绪稳定,未知地区,2024/2/23 0:33,你不拍了以后就开始看九月拍的视频下饭了[流泪]现在好了九月也开始被网暴了，明明两个都是那么漂亮的大美女有多才多艺的肯吃苦又聪明也能干，为什么这样对这两个小姑娘啊，我真的好生气,49
辉辉不当韭菜,未知地区,2024/12/10 1:56,现在有人，我吃,47
如̆是   ້,未知地区,2021/10/28 12:35,我们只认李子柒本人，跟她在什么公司没有关系，支持李子柒[比心],47
小檀か,未知地区,2024/2/15 16:32,2024.1.15，期待更新,47
爱💖明天,未知地区,2024/12/4 11:19,李子柒当年那么火，是因为什么原因沉寂这么多年啊？[比心][比心][比心],46
小树晴天.,未知地区,2024/12/20 18:20,不信还有回头客,45
莉,未知地区,2024/12/12 21:47,现在还有人我吃,45
开场哨头号高玩,未知地区,2024/11/12 16:59,我赌李子柒会在今天下午发视频[看],44
霸霸,未知地区,2024/10/17 16:42,我在等你回来，2024年10月17日,44
小饭团🐭,未知地区,2021/9/12 21:26,刚刷到了一个视频说李子柒报警了50天没更新，我赶紧过来看看，这不有更新吗？[泣不成声],43
beluga,未知地区,2024/12/9 18:19,现在还有人我吃紫蛋,43
王熊熊🐼,未知地区,2024/11/12 19:10,我也蹲一些朋友吧[做鬼脸],43
🌈铭记在/xin,未知地区,2024/10/28 2:23,现在还有人我直播吃奥利给[微笑][微笑],42
面面星人,未知地区,2024/12/14 12:39,现在还有人，我吃使,42
@小賴同學👋,未知地区,2024/10/23 22:11,刚刚看到李子柒回归了[666][666],42
懒瞌人,未知地区,2024/11/12 21:34,2024年11月12日，终于等到你回来了,41
鸭头拌饭（在京版）,未知地区,2024/7/26 22:34,2024[泣不成声]我还在等你,40
陳言,未知地区,2024/11/3 16:52,还有人我吃[看],40
何小勇的农村生活,未知地区,2021/9/9 6:59,子柒[微笑],38
小谢同学📷,未知地区,2024/11/12 23:46,2024112 23:46我在等这批人，四年了，终于等到你更新了，我都大学毕业了[流泪][流泪],37
✨饭饭🥔,未知地区,2024/7/21 15:25,2024 年 7 月 21 日，又来看你了，啥时候更新呢,35
LIII,未知地区,2024/11/16 13:07,"听说李子柒复出了？是真的吗？[暗中观察]
抖音真神奇，我等24年10月26日后的人[灵机一动]",34
芸姐姐呀,未知地区,2022/4/30 18:12,今天是2022年4月30日，18:12还有人在等更吗？,33
王王仙贝,未知地区,2024/12/17 12:17,还有人我吃,32
mai self,未知地区,2024/12/9 2:41,现在有人我吃[捂脸],32
文琪💖,未知地区,2024/11/16 11:18,现在是2014-11--16中午11：16分[比心][比心],32
作业写完了吗,未知地区,2024/11/16 14:53,那时候妈妈还在,32
蜉蝣◑,未知地区,2024/11/8 22:35,[流泪]你这两年有没有攒很多视频啊，然后现在是不是可以发出来了,31
唯你不可,未知地区,2022/4/28 17:47,今天是2022年4月28日。还有人在等更新吗？想李子柒了[捂脸][笑哭],31
林鹿,未知地区,2024/4/2 10:01,别吵，我在等4月2号刷到的那批人,30
乐优-,未知地区,2024/7/26 21:14,今天是2024年7月26日 期待回归[舔屏],30
风驰影视器材租,未知地区,2024/11/13 10:55,2024.11.12回归啦,29
三水,未知地区,2024/11/14 14:02,弹幕你这人，穿越了[疑问],28
就爱吃西红柿,未知地区,2024/7/24 9:50,我在等2024 7.24那一批[泣不成声],28
林瑾诗,未知地区,2024/2/24 22:39,还会回来吗[流泪],28
火锅雪碧柠檬水✨,未知地区,2024/7/28 0:18,2024.7.28姐姐 你该更新视频啦,27
拾荒者,未知地区,2024/8/27 6:41,等这批人[捂脸],26
半岛茶,未知地区,2024/7/26 20:54,我来访问你了,25
和我一起去游湖,未知地区,2024/7/27 23:40,2024七月底了，三年半了姐姐啊。换任何账号我必关注的，一直等你,25
用户9978669323105,未知地区,2022/4/30 13:27,今天是2022年4月30日，前来拜访李子柒姑娘,25
五朵在德国啊,未知地区,2024/8/13 18:07,2024了 还不回来吗[泣不成声],24
小梅子,未知地区,2022/3/6 23:37,现在是2022年3月6号 帐号还没有更新。 [泣不成声],24
平凡的路,未知地区,2022/4/30 17:06,2022年五月三十号终于等到更新,24
晴🌸,未知地区,2022/2/28 23:03,现在是2022年2.月28号晚11点，子柒账号还没更新[快哭了][快哭了][快哭了],24
像风一样自由,未知地区,2021/9/12 21:07,刚刷到了一个视频说李子柒报警了50天没更新，我赶紧过来看看[捂脸][捂脸][捂脸],23
出个门,未知地区,2024/7/26 22:02,2024年看到助农视频回来,23
小木耳爸爸👨🏻,未知地区,2024/12/1 21:54,给我吃一口，就一口,22
仙不仙,未知地区,2024/11/16 18:43,为什么突然又更新了？,22
太阳当空  赵💋,未知地区,2021/9/15 17:36,刚刚刷到一个视频说李子柒团队背一锅端了[暗中观察][暗中观察]赶紧过来看看,21
🌸🌸🌸🌸（恩师chiikawa,未知地区,2024/7/26 22:37,啊？发生啥了啊，咋这么大博主三年了没更新,21
Z小小,未知地区,2024/8/27 2:10,在等待这批人[看][看][看],21
委屈,未知地区,2024/11/28 18:05,李子柒当年那么火，是因为什么原因沉寂这么多年啊？,20
大白和朵朵,未知地区,2024/11/24 0:05,拍黄瓜记得放一点糖，提鲜,20
你连姨呀,未知地区,2021/9/15 8:43,重新自己捡起手机拍，不要团队，哪怕效果不好我们也喜欢看,20
是团子🍡,未知地区,2022/4/29 10:33,今天是2022年4月29号啦！有没有人同样等待着李子柒更新呢？无论时间多久我们都没有把你遗忘,20
♛丫头♛,未知地区,2022/4/22 23:08,现在是2022年4月22日晚23:08，不知道有没有人跟我一样在你等你归来,19
芳子 🐷,未知地区,2021/9/13 0:12,都是刷到那人说李子柒消失50多天才过来的嘛[捂脸][捂脸][笑哭][笑哭],19
喵女王殿下,未知地区,2024/10/1 0:34,10月1日了，李子柒你啥时候回来。,19
小刘,未知地区,2022/4/27 15:27,今天是2022年4月27日，期待李子柒更新中,19
不爱吃香菜👧,未知地区,2022/4/26 15:02,2022年4月26号，还有人在等李子柒更新吗[泣不成声],19
｡◕‿◕｡微微一笑,未知地区,2024/5/22 16:37,[玫瑰]还是会喜欢李子柒。2024年5月22日,18
♡玲玲♡,未知地区,2024/3/27 22:43,突然觉得好长时间没有看李子柒更新视频了，专门搜来看的,18
赚钱做富婆。,未知地区,2024/10/25 0:17,我在等2024，10.25号那一批人[灵机一动],17
玫瑰礼花小姐,未知地区,2024/12/4 18:59,还有人我直接[捂脸],17
两只奶团子👼🏻,未知地区,2022/4/30 9:25,今天是2022.4.30突然听到李子柒改名了,17
Fammy.,未知地区,2022/4/30 17:35,今天是2022年4月30日 在等李子柒更新[泣不成声][泣不成声],17
君看一叶舟,未知地区,2024/9/5 13:52,断更三年整了[流泪],17
叶猫子,未知地区,2024/9/26 14:04,我在等2024年9月26号那群人,17
宁采陈,未知地区,2023/4/16 16:38,今天是2023.4.16日了，为啥还不更新[流泪],17
哈哈ꦿ࿐,未知地区,2024/11/14 22:03,终于回来了，李子柒yyds,16
卖灯的小姐姐,未知地区,2022/4/15 8:09,今天是2022年4月15，还有人在等李子柒更新吗,16
用户0248874653668,未知地区,2022/4/23 8:54,2022年4月23日，还有等待李子柒更新视频的朋友吗？,16
用户7066673038577,未知地区,2021/11/26 18:52,听说李子柒好久没跟新了，抓紧来看看,16
雾🦋,未知地区,2022/4/29 12:29,今天2022 4.29还有人和我一样等更新吗,16
透怼怼🫧,未知地区,2022/4/30 17:08,今天是2022年4月30日，李子柒回来了。[调皮],16
🌈诺宝妈🌈,未知地区,2021/10/28 11:41,特意跑来你的抖音给你留言，喜欢你不是因为你叫李子柒，而是喜欢你传播的中国文化，你就是叫李铁锤，我也喜欢你！,15
亮晶晶✨,未知地区,2024/7/28 0:44,已经停更快三年了[快哭了],15
大東哥,未知地区,2024/11/14 19:13,回来依旧是王者[赞],15
适时遇见,未知地区,2024/11/13 0:27,我在等2024.11.13 这批人[流泪],15
文先生,未知地区,2024/11/25 22:29,2024年11月李子柒会回归[比心][比心],15
可口可乐毒唯,未知地区,2024/11/16 17:26,今天是2024.11.16 她回来了[逞强落泪],15
ღ᭄好运ꫛ加满💞,未知地区,2024/11/17 21:03,我在等回头客[不你不想][不你不想][不你不想],14
TT_Rain,未知地区,2024/10/26 17:52,看李子柒的视频就感觉一种舒服，听说回归了，特地来看看，子柒赶紧回来拍视频[鼓掌],14
孤舟蓑笠翁独钓寒江雪,未知地区,2024/11/3 20:36,24年又来回顾一遍。你不在她们都是莞莞类卿,14
阿雅,未知地区,2022/4/15 21:18,今天2022年4月15日，我在等子柒更新[可怜],14
我睡觉时候不困,未知地区,2024/7/27 23:52,我的猫猫有人喜欢不，我超爱它,14
嘟嘟..,未知地区,2022/4/22 21:12,2022年4月22日 等你回来更新,14
大可爱。,未知地区,2021/9/13 0:12,刚刷到了一个视频说子柒报警了57天没更新，我赶紧过来看看,14
难赴.,未知地区,2022/4/21 22:32,2022年4月21号了有谁一直等着子柒更新的,14
五阿五,未知地区,2023/9/15 22:43,2023.09.15怎么还没回来,14
