昵称,地区,时间,评论内容,点赞数
👑👑👑,四川,2024/11/15 14:12,打卡，钢琴不见了[捂脸],63
非著名导演李安,河北,2024/11/13 13:33,[捂脸]不懂就问，这茧是他们变了扑愣蛾子钻出来才用吗，我看怎么直接摘走了,62
做绒花的子琴姐姐,四川,2024/11/14 13:49,哇塞这题我会[泣不成声],62
小狗咕咕唧,四川,2024/11/13 16:03,欢迎大家来子柒的故乡四川绵阳旅游哦，这里有全国最多的野生大熊猫，“四川第二大道观”云台观，飞来“三江半岛”过冬的红嘴鸥，平武报恩寺，李白出生地，中国两弹城。还有好吃的绵阳米粉和江油肥肠！,62
花儿的Vivian,四川,2024/11/15 16:28,我做的蚕丝扇，自己喂的蚕……[呲牙][呲牙][呲牙][呲牙],60
阿郎,重庆,2024/11/14 23:23,李子柒作品中的农村并不是现实中真正的农村，那只是有钱人的农村！,59
.知夏.,福建,2024/11/19 10:25,弄的我手痒痒又想去搓绒花啦[大笑][大笑]我不想买工具了，我会一点点缠花，第一朵成品肝了我四天半……,59
哇塞琳,广东,2024/11/14 12:14,这套衣服我好喜欢，好想买,57
梨萧饱,云南,2024/11/20 18:59,现在还有人看我就吃史[微笑][微笑],54
水蜜༗桃ཻ࿐,海南,2024/11/14 13:17,我在路边摘的野花漂亮吗？[比心][比心],54
秋儿💗庆达木皮,浙江,2024/11/14 12:21,因为你断更了，这包酸辣粉放了3年没吃,53
不見（山谷）,上海,2024/11/14 1:28,我是什么山顶洞人吗，476万赞了才刷到[宕机],53
枠,福建,2024/11/13 12:34,1500了，现在是多少？,52
Gentle,内蒙古,2024/11/17 18:25,姐姐，能不能去传承一下，中国泥金彩漆，只剩下一个爷爷了，就快要失传了[快哭了][快哭了][快哭了][快哭了][快哭了][快哭了],49
诺宝ó,河南,2024/11/13 16:25,听过这个名字。不知道这人是干啥的？好像好挺有名的[捂脸],48
Mr.楊,重庆,2024/11/13 14:08,她是哪里人，我能听懂她说方言,47
小鲁班🤟,西藏,2024/11/14 3:00,现在是3.00分[玫瑰][玫瑰],47
Lucky～⛽,甘肃,2024/11/13 14:11,是从这个视频认识李子柒的[玫瑰],46
云边小卖部ᰔᩚ,山东,2024/11/13 14:28,79.2w了   11.13 下午2.27分,46
第¹¹枝花,江西,2024/12/13 16:09,我是什么山顶洞人嘛，1000多万才刷到[听歌][听歌][听歌],46
米糕,广东,2024/11/13 19:38,她以前很火么。我还是第一次看到她，她到底是干什么的这么多人认识她,45
唐家村的小唐,陕西,2024/11/13 17:30,是时候放出这张图了   就知道柒哥一直在做自己喜欢的事情  还有丽江那边…～～～～，剩下的藏货都放出来吧，一次看个够，有点等不及了[求抱抱][求抱抱][求抱抱][求抱抱][求抱抱],45
淡定,湖北,2024/11/14 15:51,好美啊，我自己钩的，这算不算艺术。,44
辰辰,山西,2024/11/13 16:58,专门给李子柒开一个，生怕有人不知道[捂脸],44
难得糊涂,上海,2024/11/13 13:20,这作品拍的，比好多影视画面还美[裂开]，我还以为再看剧，离谱,43
孙大圣👏👏,山西,2024/11/15 15:27,求小姐姐出一期，古法熬制洗发水，现在的添加剂，头真的快掉完了,43
婷曼逸塑身内衣➕金剪刀造型,四川,2024/11/14 10:04,520万时告诉我一声,42
赵敏吖,河南,2024/11/13 16:38,这是什么花，好漂亮啊,41
🐳Kim,湖北,2024/11/14 12:07,不得不拿出我做的蚕丝扇了[呲牙],40
《安樂如意》林林柒,福建,2024/11/13 23:05,中国不是没有奢侈品！而是买不起[玫瑰]瑰宝无价,40
🌻聰明是天賦，善良是選擇🌻,中国台湾,2024/11/13 17:04,請問大家這個是本人回來了嗎？,39
9527，请开门,安徽,2024/11/13 16:06,为什么她的农村和我们农村不一样 坐标皖北[捂脸],38
鱼姐,四川,2024/11/13 18:32,我为什么看到这里想哭呢[泣不成声],38
环观世界,广东,2024/11/13 15:25,我一直有个疑问，是那个先人发现蚕的丝可以用来织布做衣的，蜘蛛不是也可以吐丝吗[捂脸][捂脸][捂脸],38
小小橙子啊🍊,安徽,2024/11/13 18:54,电视上看 真的好好看,38
桖妖手作┄华韵汉风,四川,2024/11/13 17:25,绒花这题我会……就是不会养蚕[泪奔],38
最初的美好,广东,2024/11/14 22:53,李子柒粉丝是全网质量最高，忠实度最强的，而且是全球粉丝，我是她好几年的老粉了，一直在等她，她对于我来说是白月光一样的存在。怎么表达对她的喜欢呢？这么说吧，有一天哪怕她直播卖💩，我也会买几吨。,38
🌟🇨🇳神笔镇乾坤🇨🇳🌟,江苏,2024/11/13 15:53,"李 家蝴蝶百花香
子 母桑蚕到丝纺
柒 妹巧手剪绒秀
才 女伴母雪飞扬",37
南风未起886,湖北,2024/11/13 17:04,就就就真心好奇一个点，她拍的星空真好看啊，这么多星星，武汉的夜晚一般就月亮旁边一颗星，可以去哪里看这种夜空？好想带我儿子一起数星星去,36
鸿建书法,天津,2024/11/13 13:27,刚画完有喜欢的吗,36
爱喝药的武大郎,山东,2024/11/13 15:30,这是假的吧？昨天才900万粉丝，今天就5000万了。,36
小丑,浙江,2024/11/13 16:36,谁能简单告诉我她是干啥的，很出名吗[捂脸],36
青山绒花,江苏,2024/11/13 16:17,带着我的绒花来了,36
🌈亲爱的宸瑄呀,吉林,2024/11/13 19:51,2016年至今[流泪],36
韩憨不是憨憨,安徽,2024/11/13 14:05,这是什么花？[暗中观察],35
盛明兰,江苏,2024/11/13 20:36,我自己做的无患子手串，好喜欢啊,34
阿柯,福建,2024/11/13 15:05,严重过敏，真心佩服[赞][赞],34
摆烂小鱼,安徽,2024/11/13 20:54,视频太长你们都从头看到尾吗[捂脸],34
敦煌小宁,甘肃,2024/11/13 14:48,这里，有人懂吗[逞强落泪],33
时光💅荏苒💞,湖北,2024/11/13 13:17,我这里现在17.3万，你们那里多少了,33
小粒豆豆,广东,2024/11/13 20:52,"这流量，这速度我真的惊掉下巴，现在是367.2
明天早上我再来看看",33
焦玛不加糖,陕西,2024/11/25 17:55,她会采桑叶喂蚕我不奇怪，但是居然会捻亮蚕（这个只有70后、85前且在农村长大家里养过蚕的人才知道我说的意思吧）[捂脸],32
🌈🐰🌈,福建,2024/11/13 13:24,中午看都是5001万，才几个小时就涨粉七十万了[赞],32
Y,贵州,2024/11/13 17:30,7.7   明天来看看多少了,32
临夏文旅,未知地区,2024/11/14 11:02,跟着李子柒看非遗 这一站—甘肃省临夏回族自治州,32
哎呀。。。。。,四川,2024/11/13 14:31,那些模仿啊，复刻啊什么的也很厉害，但看了也只觉得厉害，，李子柒的视频看了我静心了，好奇怪。。也许这就是顶流的原因吧,32
宝田铺子土特产,湖南,2024/11/13 22:38,本来想问这货背景音乐叫什么名字，想想几十万的评论还是算了，评论不一定有人看得到[捂脸],32
爱自由,重庆,2024/12/14 16:11,李子柒，出卷老师经过你同意了吗[流泪],31
Journey,云南,2024/12/18 6:50,有坏人@你千万别回,31
–,广东,2024/12/18 9:20,有人想拉你下水[我想静静][我想静静][我想静静],31
布多多,山东,2024/11/13 14:36,唱的歌名是什么？求告知,31
阿久哥,贵州,2024/11/13 13:04,不懂就问，是子柒的真唱吗？,31
俺shi大脸猫_,四川,2024/11/13 14:25,作为油管上粉丝最多的中国人，她不更新真的非常可惜，她在油管上几千万粉丝，一般人可能没啥概念，油管上有百万粉丝甚至几十万粉丝就是大v了，所以她是超级大v，非常不容易。她为向世界弘扬中华文化做了很大的贡献，所以我挺李子柒[赞][赞],31
润生～,山东,2024/11/14 7:32,小小的建议，能不能像以前一样，把字幕加上？比如过了多久，几个月，加入了食盐，蚕丝用温水泡还是什么。可否呢？[抱拳][抱拳],30
爱三马仔的大姐姐🍀,广西,2024/11/13 16:49,仙女们[比心]最后李子柒唱的歌是什么歌名？老是想不起来。,29
鸿建书法,天津,2024/11/13 23:52,看上的拿走,29
李晶晶,中国台湾,2024/11/14 18:23,以中國傳統女性精神為榮，以同樣姓李的女性為榮。,29
不见夏,广西,2024/11/16 23:51,其实李子柒这个人真的挺好的，如果没有她的话那么外省的人还要多久才可以知道我们广西的螺蛳粉呢[流泪]她其实间接养活了很多很多人[流泪],29
珊珊,天津,2024/11/13 21:02,两天时间，粉丝暴涨500多万[赞][赞][赞],29
笑看人生,河北,2024/11/13 16:46,求解，养蚕的桑树是不是普通的那个长桑葚的树,28
曹梁,四川,2024/11/13 16:30,我好想知道她唯一关注的是那个[比心],28
有点甜,湖南,2024/11/14 22:41,子漆，能不能去传承一下，中国泥金彩漆，只剩下一个爷爷了，就快要失传了[快哭了][快哭了][快哭了],28
小爽姐姐,河南,2024/11/14 12:43,就那个琴 搬在那个地方 都是多少人不能完成的[捂脸] 这个视频不是一般人弄的，该人家火,28
可乐&端午妈,江苏,2024/11/13 13:52,一天涨粉100w！这就是李子柒的魅力哇[流泪],28
小男孩🙃,辽宁,2024/11/13 16:20,如果刘亦菲和李子柒同时追我，我该咋个选[流泪],27
o泡泡,四川,2024/11/13 15:14,离子柒最近的时候了[看],27
中夏,河南,2024/11/13 20:48,李子柒的决定是对的，那些贴牌代加工生产，根本就无法控制的，各层极为了赚更多利润，肯定会出事。反正外网的收入都足够了。,27
望望碎碎念,湖北,2024/11/13 22:57,天嘞，你竟然还会弹钢琴，天爷，真的就没有什么你不会了吧，怎么这盛世会有这么强悍的一个女生出现啊，真的除了敬佩还是敬佩，千年难修一个李子柒[赞][赞][赞],27
温柔的诱惑,广东,2024/11/16 23:53,感谢子柒，成功让我戒掉赌博，重新做回自己。,27
杜天宇。,江苏,2024/11/13 12:34,"2024年了，李子柒姐姐5051.4w粉
而夜央梦：181粉[流泪][流泪][流泪][流泪]",27
西瓜太娘,江西,2024/11/13 14:51,有人说，两年里同类型博主那么多，李子柒就算回来也不会和以前一样火了。但我始终认为，李子柒风格的视频只有李子柒做的最好。[赞],27
懒洋洋,四川,2024/11/13 13:25,这是要日更吗[泪奔]   好奇这些视频都是怎么制作的，不是说有的要拍一年吗[泪奔],27
发现美造型阿文,广东,2024/11/13 14:07,为什么没人去李子柒家乡打卡呢？多么美丽的地方！一个发型师火了却那么多人去怀化,27
艺芯,山东,2024/11/13 19:13,李子柒视频确实惊艳，其他也有模仿的，但都没有这个味道。其他人给的感觉就是表演，但看了李子柒的视频，怎么就是感觉真实，很奇怪。,26
鸿建书法,天津,2024/11/13 23:52,看上的拿走,26
鸿建书法,天津,2024/11/13 22:17,不知道有没有喜欢书法的,26
我是Cc,广西,2024/12/18 19:43,有个叫二宝妈妈的坏人艾特你千万别回，人家拿你挡枪呢,26
了了,广西,2024/11/13 14:08,求唱的歌叫什么名字[送心],26
随波逐流,山东,2024/11/13 18:03,现在看到的选,26
茉茉爱猫咪⁵⁸⁸,广东,2024/11/13 17:54,太好听了吧，谁能告诉我这是什么连续剧的歌？,26
张hhhhh韵.,广西,2024/11/13 13:20,23万了 现在是多少,26
发光的小白熊,广西,2024/11/13 13:56,黑子们，如果给你们一个几千万粉丝的账号，你们能做成她这样不，反正我就做不到，所以我喜欢李子柒[看],26
阿帷,美国,2024/11/13 13:48,这个视频才是真正的回归视频呀[逞强落泪]，钢琴与田园，绒花与机械，现代与传统的碰撞。后面子柒唱出《如愿》第一句歌词就开始哭，看到回顾来时的路的时候更是控制不住自己的情绪，幸好你回来了，欢迎你回来。,25
唐少爱钓鱼,广东,2024/11/13 17:22,三年了，你知道三年我换了多少批鱼了么[泣不成声],25
愿如意,福建,2024/11/13 13:27,19.1w你们看是多少,25
香菜大王（apex版）,广东,2024/12/18 8:28,我二宝妈妈@你呢,25
大连庄河市农村原民办教师转正指标没下达,辽宁,2024/12/18 16:07,不要回应任何关于，立陶宛那个女人的信息！不要中了他们的圈套,25
静待风轻花落时,安徽,2024/11/13 14:53,四川的朋友告诉我一下，你们那边夜晚真的有那么多星星吗？,25
阿福不赖,辽宁,2024/11/13 16:34,不懂就问，子柒唱的歌名,24
"""宁静致远",广西,2024/12/20 21:37,1048万赞才刷到，我是山顶洞人[微笑],24
